Gene,Log2FC_B1,stat_B1,pval_B1,Log2FC_B2,stat_B2,pval_B2,significance
A1CF,0.335008064166996,2.0851446461220196,0.037056172688007295,0.5194517065714463,1.268468268999704,0.20463077531476365,Both_up
AASDH,0.1689373362783948,2.2362851708655187,0.02533309719227596,0.05480352058665251,0.42215217775399083,0.6729139448751125,Both_up
AATBC,-0.25601637899831586,-2.586773861284585,0.00968791500111247,-0.04874584435918147,-0.20333432326266962,0.8388737297556543,Both_down
ABAT,0.3179338728022926,3.6420966789148093,2.704264673098519e-4,0.02004672861395216,0.10423479765734814,0.9169830198300999,Both_up
ABCC5-AS1,0.4455093965208438,2.133303153890493,0.03289986567023376,0.06599748512318951,0.19870243888737088,0.8424955161114926,Both_up
ABCG2,0.3393486503359894,2.392863207051684,0.016717472582511418,0.13300003815612202,0.5022286008803173,0.6155067265256124,Both_up
ABHD6,-0.2710201488945268,-2.3077772300689876,0.02101153000439013,-0.028544469994241185,-0.12176596011900383,0.903084373186065,Both_down
ABLIM2,0.2543775773926454,2.2044168376308146,0.02749504260561508,0.3222201168895733,1.1026278547587376,0.2701888086990318,Both_up
ACAD9-DT,0.19800497020767363,2.095154296000419,0.0361572786153904,0.02302332797276582,0.1199774963744141,0.9045009744644769,Both_up
ACKR3,-0.24486296179316241,-2.00364526828156,0.045108073029136976,-0.007125137211650041,-0.026836842932843823,0.9785898673812093,Both_down
ACSBG1,-0.2703558102462165,-1.982667613286318,0.04740456947395637,-1.2333295615055766,-2.7335898355650303,0.006264803083094545,Both_down
ACSM2A,0.3947092716931763,2.2038742106936797,0.02753319169897829,2.036620941608803,2.2993862689138496,0.021483014960602325,Both_up
ACTA2,-0.36202603625685537,-2.2274929692949943,0.025914345172935623,-0.1124679869187986,-0.5511374751332191,0.5815394375244072,Both_down
ACTA2-AS1,-0.4286320943731783,-3.3367243768867803,8.477197101232892e-4,-0.3544891661891608,-1.5653072869857019,0.11751087534062273,Both_down
ACTB,-0.3257083389811844,-3.128870833911723,0.001754794280606367,-0.2114835686305726,-1.5419314950607164,0.12309024151567971,Both_down
ACTBL2,-0.33334622299836564,-2.0241878835179428,0.042950823787933204,-0.14656452546557672,-0.29176388989979246,0.7704671562023909,Both_down
ACTBP6,0.5198064373033858,2.0755788970540947,0.03793291487467341,0.7184250651610034,0.517523143296033,0.6047910175656053,Both_up
ACTG1P22,0.43901504167451555,2.065109932992297,0.03891259979661428,0.3988170623923678,0.5521763753818347,0.5808275186860375,Both_up
ACTG1P4,0.36325577824544947,2.7321473203968916,0.00629229982136902,0.534145789736096,2.0200295987754573,0.04338031743035372,Both_up
ACTG2,-0.5147991383851636,-2.0802428757773956,0.0375032614070319,-0.34530879100472617,-0.8456900136598537,0.39772569556116405,Both_down
ACTN1,-0.21043660135091344,-1.979404872770957,0.04777044032917966,-0.09879403806700196,-0.7310687246421499,0.4647371763987922,Both_down
ACTN2,0.2506545776660981,2.219856490057569,0.026428510840394746,0.5173953994488351,0.881699609415261,0.37793927228436214,Both_up
ACTR3,-0.21588846811385476,-2.0123292284482828,0.04418524331708642,-0.29024045156660744,-1.8617503990116928,0.0626382809596611,Both_down
ACTR3BP4,0.47369367133835955,2.007289174694323,0.04471888114146882,0.28775604692216616,0.5261831126429953,0.5987609861964309,Both_up
ACTR8,0.18858750554761283,2.405837693981259,0.016135431587210543,0.04035751367280244,0.3733795129273532,0.7088660051273505,Both_up
ADAM23,0.30375616831497543,2.290788373256793,0.02197565642029473,0.3938624875069831,1.2760987808704116,0.2019206025218723,Both_up
ADAMTS14,0.4436286706284619,1.9857052720885437,0.04706605927433122,0.18184285961167168,0.26346584837634296,0.7921915429715731,Both_up
ADAMTS19,0.3748918271962199,2.910053694403796,0.0036136666774165102,0.20619275594137476,0.5731307605025296,0.5665561610894309,Both_up
ADAMTS5,-0.24836801642987225,-2.4215846747884595,0.015453000467414522,-0.04998898437268385,-0.25367781601623207,0.7997444738052852,Both_down
ADAMTSL1,0.2486327616432591,2.8984218701082556,0.003750457389052826,0.45559093327793715,1.6494724356053678,0.09905088570558082,Both_up
ADAMTSL4-AS2,-0.3465078152589208,-2.041020344563691,0.04124880494674091,-0.023110988151974522,-0.09736754401223824,0.922434518357887,Both_down
ADAP1,-0.29577855147155585,-2.0738775742630597,0.038090682268894234,-0.08130753972249903,-0.2859806972695206,0.7748929057679363,Both_down
ADCY9,0.14198313013132977,1.9699013953564988,0.04884967249745363,0.0567069769158883,0.35329390889995205,0.7238681114846103,Both_up
ADGRE5,-0.48613528405857515,-3.9167861843063223,8.973727230527589e-5,-0.08921077229593832,-0.4136332540916326,0.6791427155677696,Both_down
ADGRF4,0.38151604637012493,2.1504745340855758,0.03151769823929772,2.077814273775243,1.18216514655392,0.23714017909642493,Both_up
ADGRV1,0.444007869741579,3.1100480930288175,0.001870568846053004,0.18530505485020402,0.4195683323689183,0.6748008264196694,Both_up
ADH5P4,0.6513159597665007,3.577942448956419,3.463096772410902e-4,0.13867583088786614,0.26436825761312144,0.7914961684176945,Both_up
ADIPOR1,-0.27615591990289495,-2.2017421206049814,0.02768352961134615,-0.05604710045445789,-0.3554570834530634,0.7222471907800009,Both_down
